epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1543,0.36893,0.55252,0.34322,0.96364,0.73418,0.59251,0.65998,0.51781,0.70818,0.60093,0.6735,0.50817,0.93949,1.96159,1.39523,1.37251,0.00022864,0.00022864,0.00022864
2,26.7851,0.40311,0.59145,0.38296,0.98885,0.75599,0.51701,0.61837,0.45988,0.78137,0.49532,0.61899,0.46269,1.01257,2.03192,1.43984,1.4819,0.000469703,0.000469703,0.000469703
3,39.2345,0.45157,0.68101,0.43594,1.00692,0.71878,0.64532,0.67169,0.48283,0.71873,0.63772,0.64963,0.46435,1.04583,2.42152,1.31886,1.53817,0.000708841,0.000708841,0.000708841
4,51.5635,0.45384,0.68777,0.44569,1.00153,0.67826,0.6514,0.65052,0.46659,0.66979,0.64024,0.6392,0.49044,1.00033,2.24221,1.20716,1.46846,0.000946056,0.000946056,0.000946056
5,63.9924,0.50628,0.7851,0.49194,1.0456,0.69556,0.48488,0.4447,0.29784,0.69483,0.48447,0.43639,0.28849,1.1199,2.96918,1.86768,1.5981,0.00118135,0.00118135,0.00118135
6,76.5456,0.52333,0.84686,0.51441,1.06542,0.74345,0.46095,0.47241,0.30793,0.74809,0.47122,0.47392,0.3188,1.1613,3.02868,1.81445,1.62831,0.00140071,0.00140071,0.00140071
7,88.2913,0.52306,0.79992,0.52435,1.04515,0.62404,0.7188,0.6153,0.39276,0.6622,0.71431,0.63717,0.37517,1.21252,3.57171,1.46525,1.62987,0.00139505,0.00139505,0.00139505
8,102.045,0.51824,0.81768,0.53572,1.04899,0.58526,0.60405,0.53609,0.34664,0.5604,0.62752,0.55044,0.35094,1.2585,3.05524,1.72844,1.72447,0.00138939,0.00138939,0.00138939
9,114.621,0.53345,0.82092,0.52037,1.06343,0.6798,0.6843,0.655,0.43582,0.70438,0.70772,0.69385,0.44193,1.14815,2.45911,1.87843,1.60105,0.00138373,0.00138373,0.00138373
10,126.714,0.5318,0.86092,0.53261,1.04637,0.59218,0.65034,0.56246,0.33647,0.60625,0.65847,0.58646,0.36164,1.27519,2.50871,2.03141,1.64865,0.00137807,0.00137807,0.00137807
11,138.929,0.55358,0.8645,0.54902,1.07491,0.64161,0.58797,0.57098,0.38589,0.76193,0.52339,0.56131,0.36628,1.0994,2.31698,1.6034,1.52642,0.00137241,0.00137241,0.00137241
12,151.076,0.54466,0.85268,0.56365,1.06833,0.5823,0.66427,0.58072,0.37124,0.56445,0.6535,0.55952,0.36607,1.16054,2.03828,1.55628,1.58632,0.00136675,0.00136675,0.00136675
13,162.596,0.54335,0.87217,0.55243,1.05466,0.61984,0.54301,0.54872,0.33696,0.63351,0.55302,0.55581,0.34646,1.1847,2.13221,1.74653,1.64445,0.00136109,0.00136109,0.00136109
