epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,394.985,0.69286,1.23592,0.78369,1.18045,0.66254,0.54141,0.59461,0.38689,0.55473,0.65007,0.59837,0.42713,1.14328,1.9639,1.56499,1.5807,0.00115549,0.00115549,0.00115549
31,408.365,0.67498,1.17221,0.76531,1.16379,0.66644,0.66102,0.65737,0.42877,0.65885,0.63941,0.6673,0.44858,1.08585,2.24242,1.45436,1.49825,0.00114606,0.00114606,0.00114606
32,423.719,0.69125,1.16383,0.74413,1.17746,0.66593,0.52565,0.60591,0.35839,0.55711,0.63882,0.58596,0.3505,1.24836,2.67517,1.55086,1.68119,0.00113663,0.00113663,0.00113663
33,438.778,0.66762,1.13779,0.74304,1.15812,0.64883,0.5434,0.6048,0.38112,0.6276,0.63077,0.62459,0.42292,1.152,2.03458,1.52442,1.52762,0.0011272,0.0011272,0.0011272
34,452.106,0.6675,1.15296,0.73616,1.17164,0.55523,0.6718,0.62186,0.39796,0.57281,0.67896,0.6495,0.43093,1.11351,2.15725,1.45596,1.53562,0.00111776,0.00111776,0.00111776
35,463.615,0.67708,1.17117,0.73121,1.17546,0.64521,0.6295,0.645,0.4248,0.67732,0.65221,0.65709,0.44726,1.1545,1.99998,1.37697,1.61056,0.00110833,0.00110833,0.00110833
36,476.466,0.67276,1.17815,0.72264,1.17712,0.68142,0.60122,0.61489,0.38315,0.68191,0.6016,0.61422,0.39117,1.22577,2.27585,1.49815,1.63587,0.0010989,0.0010989,0.0010989
37,488.467,0.66835,1.12088,0.72366,1.16192,0.66355,0.59024,0.64344,0.42132,0.6679,0.59697,0.64693,0.43835,1.14623,2.14173,1.44212,1.57759,0.00108947,0.00108947,0.00108947
38,501.749,0.65025,1.13267,0.70658,1.15131,0.70507,0.57359,0.61944,0.36625,0.70703,0.57424,0.61805,0.42095,1.18561,2.08767,1.54587,1.62351,0.00108004,0.00108004,0.00108004
39,514.147,0.66331,1.18174,0.72382,1.1562,0.6436,0.6431,0.63901,0.3984,0.72268,0.58735,0.65092,0.44967,1.16173,2.02144,1.48623,1.55727,0.00107061,0.00107061,0.00107061
40,527.235,0.66841,1.18911,0.74111,1.15273,0.64784,0.50035,0.5352,0.33135,0.62056,0.5446,0.52399,0.35168,1.13071,2.41931,1.64495,1.53472,0.00106118,0.00106118,0.00106118
41,539.842,0.63532,1.13623,0.70316,1.1232,0.60206,0.64716,0.62445,0.43123,0.5754,0.63647,0.60563,0.42787,1.09154,2.25207,1.41552,1.52321,0.00105174,0.00105174,0.00105174
42,551.384,0.63443,1.03776,0.66582,1.13853,0.64365,0.6687,0.65825,0.41183,0.65035,0.66674,0.67928,0.4341,1.11215,2.12607,1.47631,1.49009,0.00104231,0.00104231,0.00104231
43,563.807,0.61073,1.08346,0.6811,1.12262,0.69167,0.65199,0.63213,0.40631,0.67608,0.67766,0.66143,0.43359,1.1571,1.86687,1.4654,1.54246,0.00103288,0.00103288,0.00103288
44,577.062,0.60761,1.08424,0.6624,1.11678,0.68073,0.61156,0.60746,0.39938,0.66759,0.61697,0.59715,0.41356,1.092,2.44618,1.4153,1.52133,0.00102345,0.00102345,0.00102345
45,589.226,0.5878,0.98988,0.60822,1.09588,0.60179,0.61868,0.5691,0.34367,0.65311,0.57685,0.59037,0.38362,1.17384,2.26068,1.62775,1.55051,0.00101402,0.00101402,0.00101402
46,601.426,0.61238,0.99208,0.66134,1.11783,0.58996,0.66039,0.61587,0.40217,0.57826,0.64982,0.60871,0.4218,1.13415,2.2947,1.41937,1.50642,0.00100459,0.00100459,0.00100459
47,613.152,0.61988,1.01684,0.65368,1.12398,0.67483,0.4671,0.59549,0.39759,0.66375,0.45357,0.56579,0.3801,1.12406,2.49308,1.53928,1.52339,0.000995156,0.000995156,0.000995156
48,624.539,0.61359,1.03869,0.63522,1.12775,0.65892,0.51999,0.59025,0.38115,0.67053,0.51996,0.59401,0.40512,1.07158,2.03532,1.58658,1.4687,0.000985724,0.000985724,0.000985724
49,636.951,0.61894,0.99054,0.63691,1.12461,0.62762,0.6295,0.6073,0.40097,0.6663,0.6528,0.63767,0.41742,1.0839,1.96352,1.48543,1.46258,0.000976293,0.000976293,0.000976293
50,649.854,0.60206,1.01369,0.63093,1.104,0.69635,0.61627,0.64258,0.42592,0.7145,0.62781,0.64015,0.43114,1.04995,2.06872,1.43354,1.46159,0.000966861,0.000966861,0.000966861
51,662.194,0.59394,0.98815,0.61988,1.09903,0.6212,0.59431,0.55903,0.36726,0.66732,0.59255,0.58582,0.40416,1.13294,1.95404,1.54373,1.54652,0.00095743,0.00095743,0.00095743
52,674.314,0.57435,0.92901,0.6127,1.0927,0.71917,0.58977,0.59677,0.39533,0.72929,0.57565,0.60986,0.42513,1.11024,2.09829,1.49379,1.5535,0.000947999,0.000947999,0.000947999
53,685.607,0.59454,0.92273,0.61104,1.11717,0.6556,0.6192,0.65846,0.44547,0.63424,0.61738,0.66778,0.47226,1.03503,1.93403,1.39335,1.45239,0.000938567,0.000938567,0.000938567
54,697.646,0.60319,0.9754,0.65058,1.1224,0.59939,0.69311,0.67043,0.46059,0.60735,0.67271,0.66992,0.46004,1.07116,1.9199,1.34033,1.49204,0.000929136,0.000929136,0.000929136
55,710.841,0.57926,0.9457,0.62281,1.09956,0.68717,0.67805,0.68337,0.47344,0.69945,0.69247,0.71462,0.49198,1.11735,1.82947,1.23404,1.53877,0.000919704,0.000919704,0.000919704
56,722.97,0.58585,0.9389,0.60717,1.10219,0.71777,0.68261,0.71689,0.48541,0.72451,0.67091,0.7121,0.49223,1.05893,1.99668,1.19802,1.45658,0.000910273,0.000910273,0.000910273
57,735.63,0.56779,0.95252,0.59756,1.07797,0.7003,0.68654,0.72642,0.4601,0.6941,0.69559,0.71549,0.46499,1.07298,1.93504,1.28248,1.46261,0.000900842,0.000900842,0.000900842
58,747.862,0.56284,0.93023,0.58967,1.07847,0.52001,0.61094,0.58352,0.37382,0.59323,0.55528,0.58753,0.39919,1.11008,1.99919,1.55769,1.49159,0.00089141,0.00089141,0.00089141
59,759.063,0.55749,0.84462,0.58802,1.07035,0.71566,0.46881,0.49409,0.34305,0.72769,0.47935,0.50675,0.34965,1.0195,2.0262,1.58881,1.46769,0.000881979,0.000881979,0.000881979
60,771.26,0.53412,0.85787,0.56673,1.07215,0.62902,0.73088,0.63867,0.41939,0.64355,0.73248,0.633,0.44681,1.0892,1.8122,1.28976,1.55214,0.000872547,0.000872547,0.000872547
61,784.418,0.57465,0.96043,0.60485,1.08754,0.65735,0.7519,0.65872,0.44342,0.66086,0.75992,0.67107,0.45031,1.07863,1.86052,1.22418,1.53112,0.000863116,0.000863116,0.000863116
62,796.659,0.5492,0.9422,0.55047,1.08547,0.69917,0.58967,0.65501,0.43942,0.71425,0.57934,0.6514,0.45034,1.054,2.17818,1.36228,1.49406,0.000853685,0.000853685,0.000853685
