epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,367.65,0.63158,1.09773,0.69336,1.09946,0.73253,0.67998,0.68121,0.46604,0.75732,0.69205,0.68603,0.46544,1.01637,1.92231,1.27637,1.38263,0.000608468,0.000608468,0.000608468
31,380.495,0.63679,1.09118,0.68657,1.09238,0.74728,0.68113,0.69504,0.48846,0.73856,0.6844,0.6912,0.45025,1.01862,2.15644,1.20984,1.3973,0.000580174,0.000580174,0.000580174
32,392.833,0.60491,1.02109,0.63597,1.07808,0.74728,0.67406,0.71568,0.50368,0.73789,0.6917,0.72954,0.47866,0.99253,1.88552,1.15922,1.36919,0.00055188,0.00055188,0.00055188
33,405.003,0.58064,0.98236,0.62396,1.05672,0.65871,0.70774,0.68616,0.47151,0.65833,0.65783,0.67311,0.47329,0.98824,1.83008,1.22844,1.32149,0.000523586,0.000523586,0.000523586
34,415.563,0.58405,0.99499,0.61306,1.06914,0.75056,0.73748,0.71165,0.48274,0.73795,0.7498,0.70958,0.48022,0.9752,1.74,1.1892,1.31087,0.000495291,0.000495291,0.000495291
35,427.665,0.57505,0.92944,0.61218,1.07318,0.75012,0.73488,0.73026,0.5036,0.77577,0.75405,0.74289,0.50631,0.96985,1.67105,1.15724,1.31174,0.000466997,0.000466997,0.000466997
36,439.198,0.55112,0.97533,0.60039,1.03998,0.70728,0.66283,0.72572,0.51993,0.72447,0.67424,0.71967,0.51774,0.95138,1.71415,1.16234,1.29797,0.000438703,0.000438703,0.000438703
37,452.151,0.55565,0.96493,0.59474,1.06015,0.66356,0.74004,0.73241,0.52518,0.68492,0.754,0.74463,0.53045,0.9345,1.57851,1.1826,1.26823,0.000410409,0.000410409,0.000410409
38,461.977,0.5557,0.95199,0.57579,1.04838,0.75629,0.67974,0.72446,0.51654,0.78309,0.69606,0.73822,0.5302,0.96963,1.60264,1.18388,1.29572,0.000382115,0.000382115,0.000382115
39,473.289,0.55472,0.93875,0.59299,1.05187,0.65747,0.77152,0.69326,0.49595,0.65581,0.76404,0.70263,0.50415,0.91541,1.60696,1.22091,1.25605,0.00035382,0.00035382,0.00035382
40,484.482,0.50585,0.85759,0.52939,1.02685,0.75623,0.73506,0.73782,0.54926,0.75585,0.73571,0.74683,0.53554,0.85078,1.69246,1.11246,1.22148,0.000325526,0.000325526,0.000325526
41,499.755,0.53863,0.92508,0.90063,1.08286,0.77417,0.65103,0.71295,0.52121,0.78465,0.66296,0.70471,0.50525,0.89704,1.73678,1.18059,1.25954,0.000297232,0.000297232,0.000297232
42,509.247,0.52071,0.89697,0.66448,1.06879,0.83273,0.48972,0.67302,0.48152,0.83022,0.49949,0.66545,0.48428,0.91688,1.67879,1.29771,1.29618,0.000268938,0.000268938,0.000268938
43,518.231,0.46743,0.80795,0.56114,1.04353,0.74945,0.61288,0.72228,0.54961,0.75684,0.62157,0.72323,0.53291,0.8765,1.56608,1.28215,1.22623,0.000240644,0.000240644,0.000240644
44,528.254,0.4862,0.75715,0.55002,1.05868,0.68589,0.68635,0.72837,0.56291,0.71704,0.70243,0.74046,0.54951,0.8658,1.57347,1.16041,1.2211,0.000212349,0.000212349,0.000212349
45,537.35,0.48861,0.76301,0.55872,1.07223,0.83345,0.63614,0.75557,0.56394,0.81187,0.63751,0.73183,0.54754,0.86821,1.61071,1.072,1.23319,0.000184055,0.000184055,0.000184055
46,548.675,0.46263,0.73873,0.52654,1.04691,0.75256,0.67062,0.74194,0.55873,0.74975,0.66856,0.72362,0.5507,0.85195,1.51002,1.0913,1.20733,0.000155761,0.000155761,0.000155761
47,558.343,0.43579,0.65598,0.49022,0.99781,0.76403,0.60653,0.70873,0.54977,0.76988,0.61316,0.69729,0.53997,0.81854,1.5139,1.16352,1.19637,0.000127467,0.000127467,0.000127467
48,567.808,0.43047,0.68764,0.48621,1.02865,0.72137,0.70927,0.7406,0.56377,0.75471,0.71824,0.74004,0.5539,0.82993,1.49184,1.10414,1.2,9.91726e-05,9.91726e-05,9.91726e-05
49,576.963,0.41491,0.6916,0.47656,1.01126,0.71842,0.70965,0.73645,0.56255,0.79149,0.66855,0.73426,0.55422,0.82255,1.50227,1.08682,1.19165,7.08784e-05,7.08784e-05,7.08784e-05
50,588.127,0.39618,0.65594,0.45247,0.97983,0.72418,0.70364,0.74031,0.56416,0.7867,0.67193,0.73742,0.55223,0.81926,1.52927,1.07064,1.193,4.25842e-05,4.25842e-05,4.25842e-05
